SL No,Title,Link,Summary
16,PipeDream: generalized pipeline parallelism for DNN training,https://dl.acm.org/doi/10.1145/3341301.3359646,"The paper “PipeDream: Generalized Pipeline Parallelism for DNN Training” introduces a system that improves deep neural network training speed by combining pipeline parallelism with model parallelism, allowing different minibatches to be processed simultaneously across multiple machines. Its key innovation is handling the challenge of inconsistent parameter updates (due to overlapping forward and backward passes) through weight versioning, ensuring correct gradient computation while keeping the pipeline fully utilized. The system also automatically partitions model layers across workers to balance computation and minimize communication, achieving significantly higher training throughput (up to ~5× faster) compared to traditional parallel training methods."
17,DeepSpeed: System Optimizations Enable Training Deep Learning Models with Over 100 Billion Parameters,https://dl.acm.org/doi/10.1145/3394486.3406703?utm_cta=website-migrate-to-the-cloud&mkt_tok=undefined%3Fwtime%3Dseek_to_second_number,"The paper “DeepSpeed: System Optimizations Enable Training Deep Learning Models with Over 100 Billion Parameters” introduces a deep learning optimization system designed to make training extremely large models efficient and scalable. Its key idea is combining multiple optimization techniques—such as memory optimization (ZeRO), parallelism strategies, and efficient communication—to drastically reduce GPU memory usage while maintaining high training speed. This enables training models with hundreds of billions of parameters on limited hardware resources, lowering cost and improving accessibility, and demonstrates that large-scale model training can be made practical through system-level optimizations rather than just hardware scaling."
18,Null,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,Exploring KV Cache Quantization in Multimodal Large Language Model Inference,https://ieeexplore.ieee.org/document/11304543,"Working with multimodal AI right now is tough because high-res inputs absolutely devour memory. The model's short-term memory fills up so fast on the GPU that the system is forced to offload data to the CPU, which just kills performance and introduces terrible lag. The smartest workaround right now is quantization. Instead of treating every single piece of data like it needs maximum precision, researchers are just compressing the bulk of it. They keep a tiny percentage of the most important data points in high precision and shrink the rest. It's a brilliant trade-off that massively drops memory usage and speeds up the whole process, without noticeably hurting the model's output quality."
25,Accelerating LLM Inference via Dynamic KV Cache Placement in Heterogeneous Memory System,https://ieeexplore.ieee.org/document/11206428,"A major bottleneck in running large language models is the memory bandwidth required to access the KV cache. To solve this, researchers are leveraging mixed-memory systems that combine high-speed HBM with standard DRAM. By intelligently moving the KV cache between these memory types based on current traffic and capacity limits, developers can drastically improve data flow. Recent mathematical models confirm that this optimized approach to memory management significantly boosts overall AI processing speeds."
26,Accelerating Quantization-Aware Vector Search for Fast Retrieval in Prompt Engineering,https://www.computer.org/csdl/journal/tc/2026/03/11303310/2cwBPdFTVUk,"Right now, a major focus in AI research is making similarity search faster and more efficient, especially for Retrieval-Augmented Generation (RAG) systems that power large language models. While graph-based methods like HNSW are the industry standard, they often struggle to strike the right balance between processing speed, memory consumption, and accuracy. To solve this, researchers are turning to software–hardware co-design. By combining mixed-precision processing, smarter data organization, and custom-built hardware accelerators, these new approaches are massively boosting search speeds without sacrificing the quality of the results."
27,Null,,
28,FlashDecoding++Next: High Throughput LLM Inference With Latency and Memory Optimization,https://ieeexplore.ieee.org/document/11062854,"Right now, a lot of AI research is focused on one big question: how do we get massive language models to run faster without chewing up so much memory? The main roadblocks usually come down to technical bottlenecks—things like math operations pausing to sync up (softmax delays), wasted processing power during matrix calculations, and the system hoarding memory it doesn't actually need. To fix this, researchers are coming up with clever workarounds. By letting operations run asynchronously, tweaking how calculations are buffered, and actively recycling memory space, they've been able to dramatically speed up response times and lower hardware costs compared to standard setups."
29,Efficient LLMs Training and Inference: An Introduction,https://ieeexplore.ieee.org/document/10756602,"ChatGPT really changed the game for AI research back in late 2022. It sparked a wave of free, public models like LLaMA and Alpaca. We quickly learned that just building massive AI isn't enough; you have to train it with great instructions if you want it to solve hard problems. The real issue is that doing this takes an insane amount of computer power, which most research teams just don't have. Because they are limited by their hardware, researchers are now totally focused on efficiency—finding clever ways to run these smart AI models using far less computer power."
30,Minimizing Response Latency in LLM-Based Agent Systems: A Comprehensive Survey,https://ieeexplore.ieee.org/document/11394729,"The main limitation of current LLM-based agents is not their intelligence, but the high latency that makes them difficult to use in real-time scenarios. This review examines the issue across the entire system stack, starting with the core models, where techniques like quantization and improved decoding methods are used to speed up inference. It also considers the agent’s internal decision-making process, highlighting the need for faster planning cycles and more efficient memory management. On the system side, better hardware and distributed computing are emphasized as ways to reduce processing delays. In addition, the review discusses multi-agent systems, noting that excessive communication between agents can create overhead and slow down performance. Overall, it suggests that achieving truly responsive and efficient LLM-based agents requires better integration of hardware and software along with optimizations at every level of the system."
